id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,PRIMARY,<derived2>,NULL,ALL,NULL,NULL,NULL,NULL,3,100.00,"Using temporary; Using filesort"
1,PRIMARY,sessions,NULL,index,NULL,uid_dttm_idx,11,NULL,3591,100.00,"Using where; Using index; Using join buffer (hash join)"
2,DERIVED,sessions,NULL,index,NULL,uid_dttm_idx,11,NULL,3591,100.00,"Using index"
3,UNION,cte_daily,NULL,ALL,NULL,NULL,NULL,NULL,2,100.00,"Recursive; Using where"
5,SUBQUERY,sessions,NULL,index,NULL,uid_dttm_idx,11,NULL,3591,100.00,"Using index"
